,date,MoM_growth
0,2020-01-01,
1,2020-02-01,-0.0119236883942766
2,2020-03-01,-0.014481094127111849
3,2020-04-01,-0.03510204081632651
4,2020-05-01,0.0
5,2020-06-01,0.017766497461928932
6,2020-07-01,0.009975062344139696
7,2020-08-01,0.004938271604938205
8,2020-09-01,0.005733005733005836
9,2020-10-01,0.0016286644951140072
10,2020-11-01,0.008130081300812941
11,2020-12-01,0.012096774193548487
12,2021-01-01,0.027091633466135523
13,2021-02-01,0.01629169899146632
14,2021-03-01,0.02519083969465652
15,2021-04-01,0.011913626209977712
16,2021-05-01,0.022810890360559277
17,2021-06-01,0.011510791366906359
18,2021-07-01,0.010668563300142209
19,2021-08-01,0.00211118930330767
20,2021-09-01,0.002808988764045006
21,2021-10-01,0.018907563025210017
22,2021-11-01,0.0068728522336769515
23,2021-12-01,-0.015699658703071773
24,2022-01-01,0.0277392510402219
25,2022-02-01,0.03238866396761142
26,2022-03-01,0.03921568627450989
27,2022-04-01,0.010062893081761004
28,2022-05-01,0.02677459526774606
29,2022-06-01,0.01091570648878104
30,2022-07-01,-0.03719256148770245
31,2022-08-01,-0.013707165109034247
32,2022-09-01,-0.009475679090334754
33,2022-10-01,-0.005102040816326592
34,2022-11-01,-0.0038461538461538325
35,2022-12-01,-0.029601029601029616
36,2023-01-01,0.0019893899204241894
37,2023-02-01,0.003970880211780159
38,2023-03-01,-0.0039551746868820015
39,2023-04-01,-0.0006618133686300265
40,2023-05-01,-0.020529801324503327
41,2023-06-01,-0.006085192697768749
42,2023-07-01,0.00340136054421758
43,2023-08-01,0.011525423728813378
44,2023-09-01,0.00536193029490617
45,2023-10-01,-0.009333333333333416
46,2023-11-01,-0.007402422611036297
47,2023-12-01,-0.006779661016949157
48,2024-01-01,0.006825938566553003
49,2024-02-01,0.00745762711864395
50,2024-03-01,0.0013458950201885589
51,2024-04-01,0.006720430107526987
52,2024-05-01,-0.006675567423230944
53,2024-06-01,-0.0026881720430107503
54,2024-07-01,0.005390835579514697
55,2024-08-01,-0.006702412868632712
56,2024-09-01,-0.006072874493927016
57,2024-10-01,0.010183299389002087
58,2024-11-01,0.0
59,2024-12-01,0.0047043010752687575
60,2025-01-01,0.014046822742474818
61,2025-02-01,0.006596306068601621
62,2025-03-01,-0.000655307994757548
63,2025-04-01,0.0006557377049178914
64,2025-05-01,-0.005897771952817821
65,2025-06-01,0.005273566249176076
