,date,value
0,2020-01-01,7.0
1,2020-02-01,7.5
2,2020-03-01,12.4
3,2020-04-01,32.0
4,2020-05-01,22.8
5,2020-06-01,18.4
6,2020-07-01,17.8
7,2020-08-01,13.9
8,2020-09-01,13.1
9,2020-10-01,12.6
10,2020-11-01,11.8
11,2020-12-01,11.8
12,2021-01-01,19.2
13,2021-02-01,12.6
14,2021-03-01,25.9
15,2021-04-01,12.0
16,2021-05-01,9.6
17,2021-06-01,8.4
18,2021-07-01,9.2
19,2021-08-01,8.4
20,2021-09-01,7.2
21,2021-10-01,6.6
22,2021-11-01,6.1
23,2021-12-01,6.0
24,2022-01-01,3.6
25,2022-02-01,3.6
26,2022-03-01,2.7
27,2022-04-01,2.2
28,2022-05-01,2.3
29,2022-06-01,2.0
30,2022-07-01,3.1
31,2022-08-01,3.1
32,2022-09-01,3.1
33,2022-10-01,3.2
34,2022-11-01,3.4
35,2022-12-01,3.7
36,2023-01-01,4.2
37,2023-02-01,4.6
38,2023-03-01,5.3
39,2023-04-01,5.0
40,2023-05-01,5.2
41,2023-06-01,5.0
42,2023-07-01,4.6
43,2023-08-01,4.7
44,2023-09-01,4.4
45,2023-10-01,4.5
46,2023-11-01,4.6
47,2023-12-01,4.4
48,2024-01-01,5.5
49,2024-02-01,5.4
50,2024-03-01,5.2
51,2024-04-01,5.1
52,2024-05-01,4.9
53,2024-06-01,4.8
54,2024-07-01,4.3
55,2024-08-01,4.2
56,2024-09-01,3.8
57,2024-10-01,4.1
58,2024-11-01,3.9
59,2024-12-01,3.5
60,2025-01-01,4.2
61,2025-02-01,4.4
62,2025-03-01,4.4
63,2025-04-01,4.9
64,2025-05-01,4.5
