TimePeriod,Personal consumption expenditures
2020M01,14217379
2020M02,14191119
2020M03,13249343
2020M04,11786841
2020M05,12755247
2020M06,13473548
2020M07,13682124
2020M08,13783893
2020M09,13973005
2020M10,14013350
2020M11,13977935
2020M12,14032878
2021M01,14221420
2021M02,14078819
2021M03,14685540
2021M04,14791627
2021M05,14748864
2021M06,14886752
2021M07,14851558
2021M08,14943514
2021M09,14977862
2021M10,15079162
2021M11,15113730
2021M12,15067939
2022M01,15092994
2022M02,15101923
2022M03,15175153
2022M04,15234111
2022M05,15207678
2022M06,15217791
2022M07,15210521
2022M08,15297414
2022M09,15324772
2022M10,15350288
2022M11,15305475
2022M12,15316176
2023M01,15524840
2023M02,15521411
2023M03,15484353
2023M04,15536728
2023M05,15546136
2023M06,15562713
2023M07,15631604
2023M08,15634732
2023M09,15673749
2023M10,15706123
2023M11,15773980
2023M12,15863998
2024M01,15812600
2024M02,15848830
2024M03,15909172
2024M04,15908277
2024M05,15985859
2024M06,16007662
2024M07,16077116
2024M08,16088614
2024M09,16173375
2024M10,16194699
2024M11,16267152
2024M12,16357723
2025M01,16265813
2025M02,16249597
2025M03,16360061
2025M04,16375389
2025M05,16329991
