,year,period,value
0,2025,M07,3.6
1,2025,M06,3.3
2,2025,M05,3.6
3,2025,M04,3.5
4,2025,M03,3.5
5,2025,M02,3.5
6,2025,M01,3.4
7,2024,M12,3.5
8,2024,M11,3.7
9,2024,M10,3.5
10,2024,M09,3.4
11,2024,M08,3.6
12,2024,M07,3.6
13,2024,M06,3.5
14,2024,M05,3.3
15,2024,M04,3.2
16,2024,M03,3.2
17,2024,M02,3.3
18,2024,M01,3.3
19,2023,M12,3.3
20,2023,M11,3.1
21,2023,M10,3.3
22,2023,M09,3.2
23,2023,M08,3.1
24,2023,M07,3.0
25,2023,M06,3.1
26,2023,M05,3.2
27,2023,M04,3.1
28,2023,M03,3.0
29,2023,M02,3.1
30,2023,M01,3.0
31,2022,M12,2.9
32,2022,M11,3.2
33,2022,M10,3.2
34,2022,M09,2.9
35,2022,M08,3.1
36,2022,M07,3.0
37,2022,M06,3.0
38,2022,M05,3.1
39,2022,M04,3.1
40,2022,M03,3.0
41,2022,M02,3.3
42,2022,M01,3.5
43,2021,M12,3.5
44,2021,M11,3.7
45,2021,M10,4.1
46,2021,M09,4.4
47,2021,M08,4.7
48,2021,M07,4.9
49,2021,M06,5.5
50,2021,M05,5.2
51,2021,M04,5.5
52,2021,M03,5.5
53,2021,M02,5.6
54,2021,M01,5.8
55,2020,M12,5.8
56,2020,M11,6.1
57,2020,M10,6.4
58,2020,M09,7.1
59,2020,M08,7.5
60,2020,M07,9.1
61,2020,M06,9.7
62,2020,M05,11.5
63,2020,M04,12.8
64,2020,M03,3.6
65,2020,M02,3.0
66,2020,M01,3.0
